Header
rate=30
frames=96
duration=3.2
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
2.409000,73,0,0,0,-30,42,29,-59,-16,56,18,-62,-5,23,9,0
2.442000,74,0,0,0,-30,42,29,-59,-16,56,18,-62,-5,23,9,0
2.475000,75,0,0,0,-28,44,27,-59,-18,56,19,-64,-5,18,9,0
2.508000,76,0,0,0,-26,46,25,-57,-20,56,21,-66,-4,13,8,0
2.541000,77,0,0,0,-21,51,20,-55,-25,56,23,-71,-4,3,7,0
2.574000,78,0,0,0,-21,51,20,-55,-25,56,23,-71,-4,3,7,0
2.607000,79,0,0,0,-19,53,18,-53,-27,56,25,-73,-3,-2,5,0
2.640000,80,0,0,0,-15,57,15,-51,-28,55,29,-77,-3,-10,4,0
2.673000,81,0,0,0,-11,61,11,-49,-30,54,33,-81,-2,-18,3,0
2.706000,82,0,0,0,-11,61,11,-49,-30,54,33,-81,-2,-18,3,0
2.739000,83,0,0,0,-7,58,8,-47,-30,53,36,-81,-1,-26,2,0
2.772000,84,0,0,0,-3,54,5,-45,-30,52,40,-80,0,-34,1,0
2.805000,85,0,0,0,-3,54,5,-45,-30,52,40,-80,0,-34,1,0
2.838000,86,0,0,0,1,50,3,-44,-30,51,38,-76,0,-40,1,0
2.871000,87,0,0,0,5,46,1,-43,-30,50,36,-72,-1,-47,0,0
2.904000,88,0,0,0,5,46,1,-43,-30,50,36,-72,-1,-47,0,0
2.937000,89,0,0,0,6,44,1,-43,-30,50,36,-70,-1,-47,0,0
2.970000,90,0,0,0,7,41,1,-43,-30,50,36,-68,-1,-47,0,0
3.003000,91,0,0,0,9,38,1,-43,-30,50,36,-66,-1,-47,0,0
3.036000,92,0,0,0,10,35,1,-43,-30,50,36,-64,-1,-47,0,0
3.069000,93,0,0,0,11,32,1,-43,-30,50,36,-62,-1,-47,0,0
3.102000,94,0,-1,0,13,29,1,-43,-30,50,36,-60,-1,-47,0,0
3.135000,95,0,-1,0,13,29,1,-43,-30,50,36,-60,-1,-47,0,0
3.168000,96,0,-2,0,15,27,2,-43,-30,50,35,-58,0,-46,0,0
